id,name,barcode,purchase_price,selling_price,commution,stock,image_url,created_at,updated_at,purchase_barcode
547,3lü Mini Akasya Saplı Çelik Yuvarlak Ölçü Kaşığı Kalıbı 60 ml / 120 ml /180 ml,ölçükaşığı04,555.00,899.00,21.00,6,https://cdn.dsmcdn.com/ty1782/prod/QC_PREP/20251031/22/caa3fc96-f70c-3f9e-a005-6a9aeccad3c0/1_org_zoom.jpg,2025-11-01 18:40:23.74304,2025-11-01 18:46:34.658394,8634827054094
546,3lü Mini Akasya Saplı Çelik Yuvarlak Ölçü Kaşığı Kalıbı 60 ml / 120 ml /180 ml,ölçükaşığı03,475.00,799.00,21.00,1,https://cdn.dsmcdn.com/ty1782/prod/QC_PREP/20251031/22/9e0d88bc-ef43-3847-b9bb-0bef9e72aeca/1_org_zoom.jpg,2025-11-01 18:38:28.979187,2025-11-01 18:45:10.80116,8634827054124
549,Akasya Kulplu Cam Kapaklı Mini Demlik 400 mL,demlik1,215.00,549.00,20.00,2,https://cdn.dsmcdn.com/ty1784/prod/QC_PREP/20251031/00/232acfa3-2659-38f9-be25-a574bcf1204c/1_org_zoom.jpg,2025-11-01 18:40:23.75163,2025-11-01 18:48:06.049648,8680510052397
550,Akasya Standlı Cam Derin Kase Salata Kasesi Meyve Çerez Sunumluk Tabağı 17 cm,akasyakase1,390.00,799.00,21.00,14,https://cdn.dsmcdn.com/ty1784/prod/QC_PREP/20251031/00/0827b69e-c963-3126-8fbd-7df63a51f0c2/1_org_zoom.jpg,2025-11-01 18:40:23.755479,2025-11-01 18:48:58.791615,8684180929904
548,3lü Akasya Standlı Kaşıklı Cam Kavanoz Baharatlık Seti 500ml,akasyabaharatlık01,653.00,1249.00,21.00,11,https://cdn.dsmcdn.com/ty1782/prod/QC_PREP/20251031/21/97ac0a6e-5160-3b40-b780-4d9f99c31793/1_org_zoom.jpg,2025-11-01 18:40:23.748021,2025-11-01 18:49:47.900104,8698547800607
551,Renkli Kulplu Fiyonklu Kupa Bardak Kahve Fincanı 350 mL,fiyonk4,125.00,399.00,21.00,5,https://cdn.dsmcdn.com/ty1782/prod/QC_PREP/20251030/23/10304b9a-2ced-38c1-8313-6d9089dd44d8/1_org_zoom.jpg,2025-11-01 18:40:23.763518,2025-11-01 18:50:57.52332,0
552,Renkli Kulplu Fiyonklu Kupa Bardak Kahve Fincanı 350 mL,fiyonk3,125.00,399.00,21.00,4,https://cdn.dsmcdn.com/ty1782/prod/QC_PREP/20251030/23/2b357b0b-727c-3246-a0ab-efb03cbae214/1_org_zoom.jpg,2025-11-01 18:40:23.767009,2025-11-01 18:51:15.712523,0
553,Renkli Kulplu Fiyonklu Kupa Bardak Kahve Fincanı 350 mL,fiyonk1,125.00,399.00,21.00,5,https://cdn.dsmcdn.com/ty1784/prod/QC_PREP/20251030/23/65266bfa-b8c3-314c-81a9-ab58510892c0/1_org_zoom.jpg,2025-11-01 18:40:23.771055,2025-11-01 18:51:31.862978,0
554,Renkli Kulplu Fiyonklu Kupa Bardak Kahve Fincanı 350 mL,fiyonk2,125.00,399.00,21.00,4,https://cdn.dsmcdn.com/ty1783/prod/QC_PREP/20251030/23/28e5331c-d225-356c-85bf-a56d61fa7ecb/1_org_zoom.jpg,2025-11-01 18:40:23.774778,2025-11-01 18:52:45.066944,0
555,Zarif Cam Kaşıklı ve Kapaklı Şekerlik/Reçellik/Tuzluk/Bal Kavanozu,şekerlik01,173.00,425.00,21.00,0,https://cdn.dsmcdn.com/ty1780/prod/QC_PREP/20251026/00/529d121d-3fe7-3796-be12-2f7303c30e45/1_org_zoom.jpg,2025-11-01 18:40:23.77962,2025-11-01 18:53:07.485819,0
556,Renkli Cam Siyah Kapaklı Şık Tombul Sıvı Sabunluk/Deterjanlık,sabunluk09,78.00,299.90,19.50,12,https://cdn.dsmcdn.com/ty1780/prod/QC_PREP/20251026/00/65ccee3a-7717-3c21-87b4-37ab9ae85af3/1_org_zoom.jpg,2025-11-01 18:40:23.823734,2025-11-01 18:54:26.154574,8698547800416
557,Renkli Cam Siyah Kapaklı Şık Tombul Sıvı Sabunluk/Deterjanlık,sabunluk08,78.00,299.90,19.50,12,https://cdn.dsmcdn.com/ty1780/prod/QC_PREP/20251026/00/bf005891-f2dc-35aa-abb6-9385c895c740/1_org_zoom.jpg,2025-11-01 18:40:23.827742,2025-11-01 18:54:51.226648,8698547800416
558,Renkli Cam Siyah Kapaklı Şık Tombul Sıvı Sabunluk/Deterjanlık,sabunluk07,78.00,299.90,19.50,12,https://cdn.dsmcdn.com/ty1780/prod/QC_PREP/20251026/00/4c028d19-3956-386c-880a-1722ff3e67ee/1_org_zoom.jpg,2025-11-01 18:40:23.831737,2025-11-01 18:55:57.370076,8698547800416
559,Renkli Cam Siyah Kapaklı Şık Tombul Sıvı Sabunluk/Deterjanlık,sabunluk10,78.00,299.90,19.50,12,https://cdn.dsmcdn.com/ty1781/prod/QC_PREP/20251026/00/90a4b8bf-d2e2-38a6-9e20-08bba40605c5/1_org_zoom.jpg,2025-11-01 18:40:23.836236,2025-11-01 18:56:27.759567,8698547800416
